@relation it32
@attribute AB002315_at numeric
@attribute AC000061_cds3_at numeric
@attribute AD001527_cds1_at numeric
@attribute D14686_at numeric
@attribute D28483_at numeric
@attribute D29012_at numeric
@attribute D29956_at numeric
@attribute D31763_at numeric
@attribute D43638_at numeric
@attribute D50924_at numeric
@attribute D80004_at numeric
@attribute D83542_at numeric
@attribute HG2228-HT2305_at numeric
@attribute HG2417-HT2513_at numeric
@attribute HG2525-HT2621_at numeric
@attribute HG384-HT384_at numeric
@attribute L02840_at numeric
@attribute L13286_at numeric
@attribute L13923_at numeric
@attribute L17131_rna1_at numeric
@attribute L20773_at numeric
@attribute L27586_at numeric
@attribute L33243_at numeric
@attribute L40396_at numeric
@attribute L48513_at numeric
@attribute M11437_cds2_at numeric
@attribute M13194_at numeric
@attribute M19989_cds2_at numeric
@attribute M20530_at numeric
@attribute M23379_at numeric
@attribute M30894_at numeric
@attribute M34423_at numeric
@attribute M35252_at numeric
@attribute M37190_at numeric
@attribute M60748_at numeric
@attribute M63962_rna1_at numeric
@attribute M64347_at numeric
@attribute M73547_at numeric
@attribute M74719_at numeric
@attribute M84526_at numeric
@attribute M86868_at numeric
@attribute M98539_at numeric
@attribute S71824_at numeric
@attribute S76475_at numeric
@attribute S78187_at numeric
@attribute S78296_at numeric
@attribute U08998_at numeric
@attribute U11690_at numeric
@attribute U18018_at numeric
@attribute U21936_at numeric
@attribute U23946_at numeric
@attribute U28963_at numeric
@attribute U36448_at numeric
@attribute U37143_at numeric
@attribute U37673_at numeric
@attribute U39412_at numeric
@attribute U41737_at numeric
@attribute U50136_rna1_at numeric
@attribute U51477_at numeric
@attribute U52827_at numeric
@attribute U57877_at numeric
@attribute U70867_at numeric
@attribute U80669_at numeric
@attribute U92459_at numeric
@attribute X02152_at numeric
@attribute X12901_at numeric
@attribute X14787_at numeric
@attribute X14968_at numeric
@attribute X15882_at numeric
@attribute X16560_at numeric
@attribute X51804_at numeric
@attribute X54938_at numeric
@attribute X59656_at numeric
@attribute X68194_at numeric
@attribute X69636_at numeric
@attribute X78565_at numeric
@attribute X84740_at numeric
@attribute X91809_at numeric
@attribute X95654_at numeric
@attribute X99050_rna1_at numeric
@attribute Y07604_at numeric
@attribute Y08136_at numeric
@attribute Z56281_at numeric
@attribute Z68129_cds1_at numeric
@attribute L08895_at numeric
@attribute D86974_at numeric
@attribute AB006781_s_at numeric
@attribute D43682_s_at numeric
@attribute Y10807_s_at numeric
@attribute L08835_rna2_s_at numeric
@attribute M17863_s_at numeric
@attribute Z68280_cds2_s_at numeric
@attribute L25286_s_at numeric
@attribute X02875_s_at numeric
@attribute M29277_s_at numeric
@attribute Y10141_s_at numeric
@attribute X73358_s_at numeric
@attribute U31973_s_at numeric
@attribute U75276_s_at numeric
@attribute U40271_s_at numeric
@attribute U43747_s_at numeric
@attribute U72509_s_at numeric
@attribute U79667_s_at numeric
@attribute L20433_at numeric
@attribute X83863_at numeric
@attribute CLASS {'0','1'}
@data
174,-184,103,164,308,2308,67,6,1093,204,1117,103,-1304,13,550,2542,516,80,298,1385,382,40,711,-16,627,140,459,-30,-127,181,-10,1140,67,57,-144,50,295,593,2069,-389,-1053,2029,556,540,768,1603,-493,-3,-446,157,617,362,-6,70,872,1432,13,1908,-258,254,1063,1197,147,-50,7578,-184,-30,70,2687,895,623,1154,-634,87,322,164,150,110,-100,147,1325,46,556,727,-80,24143,-77,1455,4699,4099,1569,3599,70,46,389,925,12677,-218,-459,90,50,46,-33,-540,1596,'1'
192,-110,156,-5,208,1402,143,-36,518,48,1462,912,-872,-72,234,3632,286,-51,301,1265,390,91,563,-8,381,-142,1071,1073,-121,483,85,114,30,136,-146,100,182,481,4109,-119,-129,1978,255,1094,591,313,-40,40,203,105,243,283,-55,53,-273,952,53,860,362,-6,688,528,-101,-45,2896,-113,-25,-150,1527,3294,60,859,-67,39,257,89,172,372,-37,74,1756,84,109,470,0,5356,-103,645,2064,777,863,999,35,190,218,728,1737,-119,-25,626,91,755,-200,-167,458,'1'
73,-74,-4,-59,34,776,67,12,5,95,126,249,-174,20,-46,5520,78,-5,72,4048,259,25,182,3,46,41,856,22,-44,135,41,50,-12,61,-39,-101,40,258,398,-146,-223,608,189,67,119,487,60,86,85,-4,165,345,-45,23,-153,91,8,292,244,9,315,20,86,-3,1932,-75,-33,-90,360,2017,180,430,-107,3,160,-23,86,110,-78,11,398,-6,197,303,43,5684,-9,1089,1798,795,209,234,4,142,33,216,1176,-19,25,-50,48,97,-16,-76,239,'1'
194,-33,129,155,184,875,105,156,102,71,1802,545,-494,-36,121,3731,90,17,337,4502,866,8,258,-1,328,33,1020,120,155,362,167,395,-18,96,-142,-2,392,463,531,49,-159,1726,262,128,713,279,312,182,295,21,176,263,39,58,129,372,28,326,372,24,788,305,-151,-13,9695,34,47,33,631,3656,190,250,31,104,302,80,397,275,-10,37,1392,42,387,433,57,5053,34,942,4050,748,89,1054,37,27,158,337,1609,-11,34,260,78,108,-84,-77,330,'1'
162,-2,23,119,37,1534,47,37,114,26,825,394,-857,7,458,2054,482,74,205,5677,266,162,559,-29,-15,23,636,15,34,367,98,95,-93,42,-58,-165,253,223,327,-434,-10,266,386,95,-21,1286,-26,159,175,18,945,836,-205,231,761,881,21,844,191,-135,634,87,101,-74,6931,-170,-101,-127,34,564,237,-210,-242,109,343,-7,221,-58,47,-2,626,42,279,679,-95,40161,37,2941,2853,3098,178,1156,-29,356,-213,476,6468,95,154,-39,178,266,-274,-410,245,'1'
1065,-106,188,-72,20,2084,225,903,2511,21,2426,2114,-267,-71,248,5328,835,-163,243,5682,1231,45,978,13,138,-213,1497,102,210,1855,163,1123,-86,378,-154,13,189,1518,3536,-196,-475,1152,480,688,508,5966,-234,797,1009,26,1704,280,2435,115,1378,1399,61,1978,774,651,2050,261,-168,496,12942,-96,-30,1,1756,6164,1094,929,69,-310,943,60,699,313,-75,518,1005,195,469,1750,54,4928,145,1381,7508,1569,709,3983,-39,118,96,2574,9823,-118,405,399,17,165,-36,-221,407,'1'
117,-35,51,414,165,1017,119,235,963,107,2018,940,-592,-28,239,4535,99,-10,207,836,698,59,892,12,456,39,656,760,123,367,44,167,-36,145,-57,25,254,1016,2493,-166,-387,3625,392,941,657,1441,127,166,219,113,427,211,0,74,-130,614,-8,712,580,138,384,338,-64,-66,2416,43,-17,-61,671,2704,363,552,-26,88,282,184,159,266,-8,42,893,10,105,480,57,4654,53,1057,1738,988,180,1291,-5,117,114,626,1241,-9,16,184,134,356,148,-119,488,'1'
90,-64,41,178,81,998,56,130,724,49,1173,-13,-49,50,-3,3647,78,-58,147,1346,300,63,935,-7,100,27,656,98,-72,423,23,130,-36,27,-40,66,-27,370,1875,-110,-104,378,881,444,192,1707,10,98,73,21,303,316,-70,52,260,227,75,492,164,36,355,207,-26,-50,1489,-67,13,-32,540,872,290,-170,96,56,147,16,173,-4,-43,123,1338,49,130,635,26,9744,18,1061,3229,729,132,906,-27,24,-69,221,1576,-16,123,201,-69,175,-58,-47,289,'1'
190,-54,112,25,176,831,11,46,-57,115,733,1516,-430,-320,265,2195,103,-83,112,1568,803,57,872,5,95,-170,456,993,129,664,219,361,-25,57,-28,378,447,730,2562,72,-89,1276,990,834,488,3489,-72,54,499,98,465,450,-25,135,46,372,-135,1337,511,-11,560,129,268,-28,961,112,-2,40,1169,710,129,837,17,40,349,179,346,141,-89,132,361,23,967,439,-5,2824,-66,1216,1886,1140,112,1094,2,115,-158,574,4919,-14,-297,112,-31,0,-75,-132,632,'1'
283,-75,167,670,368,709,315,149,236,270,3486,1116,-759,-242,197,4177,132,-10,302,535,754,201,-22,50,574,-135,968,156,142,966,50,117,-53,270,-149,182,187,714,4150,-237,-315,587,1205,2675,509,392,46,98,-51,101,717,575,-302,60,-569,53,55,904,283,-74,725,341,-153,-29,1800,51,-7,-263,87,1925,51,1004,-191,121,347,5,236,320,-36,230,583,11,98,280,-36,7969,-79,835,1657,1193,136,1198,13,130,94,1059,1312,25,-163,204,44,246,-151,256,426,'1'
278,-112,0,585,250,2231,81,126,1279,-116,1353,2425,-1459,-14,274,2534,793,84,405,1530,722,81,1759,-179,35,-77,1209,299,-77,895,102,680,-98,-45,-260,98,130,1621,1420,-123,31,3349,789,1166,387,2291,-77,458,282,21,683,733,585,28,867,1798,162,2076,613,172,1219,1124,377,451,8189,144,165,28,666,761,581,595,81,-243,574,10,687,116,-172,176,2214,45,169,1593,144,31409,250,3003,5648,3099,560,3049,3,130,183,27073,13922,49,-264,172,28,-45,2189,-440,1061,'1'
79,-85,74,1050,509,1876,130,171,1258,-29,1450,2039,-1027,-103,464,3010,529,76,402,725,346,222,5097,20,840,-133,799,520,106,609,32,390,-88,-17,-88,198,331,1731,3330,-313,-651,28826,899,1734,716,2456,50,210,8,-17,236,1059,26,189,606,1187,139,1657,1414,441,491,331,-103,-53,1867,-41,11,-296,920,728,325,355,-20,79,630,59,455,65,-8,263,793,-17,645,1225,257,45770,118,3537,2548,2394,1237,3377,-8,35,991,834,5491,59,-328,136,-11,-254,1740,-405,911,'1'
